,police_neighborhoods,merge_key,merge_2,Combo,census_tracts,merge_t
1,ALASKA JUNCTION,West Seattle Junction/Genesee Hill,,0,Alki/Admiral,1
2,ALKI,Alki/Admiral,,0,Arbor Heights,1
3,BALLARD NORTH,Ballard,,0,Ballard,1
4,BALLARD SOUTH,Ballard,,0,Beacon Hill,1
5,BELLTOWN,Belltown,,0,Belltown,1
6,BITTERLAKE,Broadview/Bitter Lake,,0,Broadview/Bitter Lake,1
7,BRIGHTON/DUNLAP,South Beacon Hill/NewHolly,,0,Capitol Hill,1
8,CAPITOL HILL,Capitol Hill,,0,Cascade/Eastlake,1
9,CENTRAL AREA/SQUIRE PARK,Central Area/Squire Park,,0,Cedar Park/Meadowbrook,1
10,CHINATOWN/INTERNATIONAL DISTRICT,Pioneer Square/International District,,0,Central Area/Squire Park,1
11,CLAREMONT/RAINIER VISTA,Columbia City,,0,Columbia City,1
12,COLUMBIA CITY,Columbia City,,0,Downtown Commercial Core,1
13,COMMERCIAL DUWAMISH,Duwamish/SODO,,0,Duwamish/SODO,1
14,COMMERCIAL HARBOR ISLAND,Commercial,,0,Fauntleroy/Seaview,1
15,DOWNTOWN COMMERCIAL,Downtown Commercial Core,,0,First Hill,1
16,EASTLAKE - EAST,Cascade/Eastlake,,0,Fremont,1
17,EASTLAKE - WEST,Cascade/Eastlake,,0,Georgetown,1
18,FAUNTLEROY SW,Fauntleroy/Seaview,,0,Green Lake,0
19,FIRST HILL,First Hill,,0,Greenwood/Phinney Ridge,1
20,FREMONT,Fremont,,0,Haller Lake,0
21,GENESEE,West Seattle Junction/Genesee Hill,,0,High Point,1
22,GEORGETOWN,Georgetown,,0,Highland Park,1
23,GREENWOOD,Greenwood/Phinney Ridge,,0,Interbay,0
24,HIGH POINT,High Point,,0,Judkins Park,1
25,HIGHLAND PARK,Highland Park,,0,Laurelhurst/Sand Point,1
26,HILLMAN CITY,Columbia City,,0,Licton Springs,1
27,JUDKINS PARK/NORTH BEACON HILL,North Beacon Hill/Jefferson Park,Judkins Park,1,Madison Park,1
28,LAKECITY,Olympic Hills/Victory Heights,Cedar Park/Meadowbrook,1,Madrona/Leschi,1
29,LAKEWOOD/SEWARD PARK,Seward Park,,0,Magnolia,1
30,MADISON PARK,Madison Park,,0,Miller Park,1
31,MADRONA/LESCHI,Madrona/Leschi,,0,Montlake/Portage Bay,1
32,MAGNOLIA,Magnolia,,0,Mt. Baker/North Rainier,1
33,MID BEACON HILL,Beacon Hill,,0,North Beach/Blue Ridge,0
34,MILLER PARK,Miller Park,,0,North Beacon Hill/Jefferson Park,1
35,MONTLAKE/PORTAGE BAY,Montlake/Portage Bay,,0,North Capitol Hill,0
36,MORGAN,Fauntleroy/Seaview,,0,North Delridge,1
37,MOUNT BAKER,Mt. Baker/North Rainier,,0,Northgate/Maple Leaf,1
38,NEW HOLLY,South Beacon Hill/NewHolly,,0,Olympic Hills/Victory Heights,1
39,NORTH ADMIRAL,Alki/Admiral,,0,Pioneer Square/International District,1
40,NORTH BEACON HILL,North Beacon Hill/Jefferson Park,,0,Queen Anne,1
41,NORTH DELRIDGE,North Delridge,,0,Rainier Beach,1
42,NORTHGATE,Northgate/Maple Leaf,Licton Springs,0,Ravenna/Bryant,1
43,PHINNEY RIDGE,Greenwood/Phinney Ridge,,0,Riverview,0
44,PIGEON POINT,North Delridge,,0,Roxhill/Westwood,1
45,PIONEER SQUARE,Pioneer Square/International District,,0,Seward Park,1
46,QUEEN ANNE,Queen Anne,,0,South Beacon Hill/NewHolly,1
47,RAINIER BEACH,Rainier Beach,,0,South Park,1
48,RAINIER VIEW,Columbia City,,0,Sunset Hill/Loyal Heights,0
49,ROOSEVELT/RAVENNA,Ravenna/Bryant,,0,University District,1
50,ROXHILL/WESTWOOD/ARBOR HEIGHTS,Roxhill/Westwood,Arbor Heights,1,Wallingford,1
51,SANDPOINT,Laurelhurst/Sand Point,,0,Wedgwood/View Ridge,0
52,SLU/CASCADE,Cascade/Eastlake,,0,West Seattle Junction/Genesee Hill,1
53,SODO,Duwamish/SODO,,0,Whittier Heights,0
54,SOUTH BEACON HILL,South Beacon Hill/NewHolly,,0,,
55,SOUTH DELRIDGE,Roxhill/Westwood,,0,,
56,SOUTH PARK,South Park,,0,,
57,UNIVERSITY,University District,,0,,
58,UNKNOWN,Unknown,,0,,
59,WALLINGFORD,Wallingford,,0,,
